ДАННЫЕ ДЛЯ ТАБЛИЦЫ К РИСУНКУ 3
============================================================
Корреляция: 19. Позволяет использовать профессиональные умения вне работы ↔ Предприимчивый (Enterprising)
ρ (Спирмен) = 0.2825, p = 0.0468
Количество наблюдений: 50

Таблица координат точек (X, Y):

№	Балл по мотиву (X)	Балл по типу Холланда (Y)
------------------------------------------------------------
1	3.0	11.0
2	5.0	6.0
3	5.0	5.0
4	3.0	8.0
5	3.0	6.0
6	5.0	8.0
7	3.0	13.0
8	4.0	5.0
9	4.0	9.0
10	2.0	7.0
11	4.0	9.0
12	3.0	2.0
13	4.0	6.0
14	1.0	7.0
15	1.0	7.0
16	1.0	2.0
17	5.0	6.0
18	4.0	8.0
19	2.0	5.0
20	5.0	8.0
21	3.0	7.0
22	5.0	7.0
23	2.0	6.0
24	1.0	6.0
25	1.0	4.0
26	1.0	5.0
27	3.0	6.0
28	2.0	7.0
29	3.0	6.0
30	4.0	6.0
31	5.0	6.0
32	4.0	9.0
33	3.0	8.0
34	3.0	4.0
35	4.0	4.0
36	4.0	7.0
37	1.0	5.0
38	2.0	7.0
39	5.0	8.0
40	4.0	6.0
41	1.0	4.0
42	2.0	10.0
43	3.0	7.0
44	3.0	7.0
45	4.0	8.0
46	2.0	6.0
47	3.0	6.0
48	2.0	5.0
49	3.0	6.0
50	3.0	6.0
